2023/08/05 15:22:41.789 [E] [xgo.go:47]  读取配置文件失败 Config File "configx" Not Found in "[D:\\xgo D:\\xgo\\configx]"
2023/08/05 15:22:53.595 [E] [xgo.go:47]  读取配置文件失败 Config File "configx" Not Found in "[D:\\xgo D:\\xgo\\config]"
2023/08/05 15:40:26.175 [E] [xgo.go:47]  读取配置文件失败 Config File "configx" Not Found in "[D:\\xgo D:\\xgo\\config]"
2023/08/05 15:40:32.776 [E] [xgo.go:47]  读取配置文件失败 Config File "configx" Not Found in "[D:\\xgo D:\\xgo\\config]"
2023/08/05 15:42:47.971 [E] [xgo.go:47]  读取配置文件失败 Config File "configx" Not Found in "[D:\\xgo D:\\xgo\\config]"
2023/08/05 15:42:55.474 [E] [xconfig.go:34]  read config error:server.env
2023/08/05 15:43:12.404 [E] [xconfig.go:34]  read config error:server.env
2023/08/05 15:43:25.770 [E] [xconfig.go:34]  read config error:server.project
2023/08/05 15:43:38.241 [E] [xconfig.go:34]  read config error:server.module
2023/08/05 15:44:05.794 [E] [xconfig.go:34]  read config error:server.module
2023/08/05 15:44:07.073 [E] [xconfig.go:34]  read config error:server.module
2023/08/05 15:44:08.825 [E] [xconfig.go:34]  read config error:server.module
2023/08/05 15:53:55.874 [E] [xconfig.go:34]  read config error:server.db.user
2023/08/05 15:54:46.679 [D] [xdb.go:52]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 15:54:52.474 [D] [xdb.go:52]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 15:56:18.809 [D] [xdb.go:52]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 15:56:30.817 [D] [xdb.go:52]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 15:58:16.809 [D] [xdb.go:55]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 15:58:21.625 [D] [xdb.go:55]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 15:58:51.630 [D] [xdb.go:56]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 15:58:59.494 [D] [xdb.go:56]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 15:59:29.119 [D] [xdb.go:56]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 15:59:50.479 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:00:08.815 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:01:04.052 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:01:12.718 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:01:12.888 [E] [xdb.go:194]  select * from x_configx limit 1 [] Error 1146 (42S02): Table 'x_hash_game.x_configx' doesn't exist
2023/08/05 16:02:04.100 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:02:04.270 [E] [xdb.go:194]  select * from x_configx limit 1 [] Error 1146 (42S02): Table 'x_hash_game.x_configx' doesn't exist
2023/08/05 16:15:14.553 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:15:14.716 [E] [xdb.go:194]  select * from x_configx limit 1 [] Error 1146 (42S02): Table 'x_hash_game.x_configx' doesn't exist
2023/08/05 16:19:58.617 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:19:58.793 [E] [xdb.go:194]  select * from x_configx limit 1 [] Error 1146 (42S02): Table 'x_hash_game.x_configx' doesn't exist
2023/08/05 16:20:24.179 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:20:24.351 [E] [xdb.go:194]  select * from x_configx limit 1 [] Error 1146 (42S02): Table 'x_hash_game.x_configx' doesn't exist
2023/08/05 16:21:13.243 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:21:13.416 [E] [xdb.go:194]  select * from x_configx limit 1 [] Error 1146 (42S02): Table 'x_hash_game.x_configx' doesn't exist
2023/08/05 16:21:37.911 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
2023/08/05 16:21:38.084 [E] [xdb.go:194]  select * from x_configx limit 1 [] Error 1146 (42S02): Table 'x_hash_game.x_configx' doesn't exist
2023/08/05 16:22:06.753 [D] [xdb.go:54]  连接数据库成功: 10.10.234.221 14578 x_hash_game
